id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
346;100073;VK1;1;beliebig;4;;0;0;+;19
347;100073;VK2;1;beliebig;4,05;;0;0;+;19
348;100073;VK3;1;beliebig;5;;0;0;+;19
349;100073;VK4;1;beliebig;6;;0;0;+;19
350;100073;VK_DP;1;beliebig;6;;0;0;+;19
351;100074;VK1;1;beliebig;30,5;;0;0;+;19
352;100074;VK3;1;beliebig;36;;0;0;+;19
353;100074;VK4;1;beliebig;44;;0;0;+;19
354;100075;VK1;1;beliebig;4;;0;0;+;19
355;100075;VK2;1;beliebig;4,05;;0;0;+;19
356;100075;VK3;1;beliebig;5;;0;0;+;19
357;100075;VK4;1;beliebig;6;;0;0;+;19
358;100075;VK_DP;1;beliebig;6;;0;0;+;19
359;100076;VK1;1;beliebig;30,5;;0;0;+;19
360;100076;VK3;1;beliebig;36;;0;0;+;19
361;100076;VK4;1;beliebig;44;;0;0;+;19
362;100077;VK1;1;beliebig;4;;0;0;+;19
363;100077;VK2;1;beliebig;4,05;;0;0;+;19
364;100077;VK3;1;beliebig;5;;0;0;+;19
365;100077;VK4;1;beliebig;6;;0;0;+;19
366;100077;VK_DP;1;beliebig;6;;0;0;+;19
367;100078;VK1;1;beliebig;30,5;;0;0;+;19
368;100078;VK3;1;beliebig;36;;0;0;+;19
369;100078;VK4;1;beliebig;44;;0;0;+;19
370;100079;VK1;1;beliebig;4;;0;0;+;19
371;100079;VK2;1;beliebig;4,05;;0;0;+;19
372;100079;VK3;1;beliebig;5;;0;0;+;19
373;100079;VK4;1;beliebig;6;;0;0;+;19
374;100079;VK_DP;1;beliebig;6;;0;0;+;19
375;100080;VK1;1;beliebig;30,5;;0;0;+;19
376;100080;VK3;1;beliebig;36;;0;0;+;19
377;100080;VK4;1;beliebig;44;;0;0;+;19
378;100081;VK1;1;beliebig;4;;0;0;+;19
379;100081;VK2;1;beliebig;4,05;;0;0;+;19
380;100081;VK3;1;beliebig;5;;0;0;+;19
381;100081;VK4;1;beliebig;6;;0;0;+;19
382;100081;VK_DP;1;beliebig;6;;0;0;+;19
383;100082;VK1;1;beliebig;30,5;;0;0;+;19
384;100082;VK3;1;beliebig;36;;0;0;+;19
385;100082;VK4;1;beliebig;44;;0;0;+;19
386;100083;VK1;1;beliebig;6;;0;0;+;19
387;100083;VK2;1;beliebig;5,5;;0;0;+;19
388;100083;VK3;1;beliebig;7,5;;0;0;+;19
389;100083;VK4;1;beliebig;9;;0;0;+;19
390;100083;VK_DP;1;beliebig;8;;0;0;+;19
391;100084;VK1;1;beliebig;6;;0;0;+;19
392;100084;VK2;1;beliebig;5,5;;0;0;+;19
393;100084;VK3;1;beliebig;7,5;;0;0;+;19
394;100084;VK4;1;beliebig;9;;0;0;+;19
395;100084;VK_DP;1;beliebig;8;;0;0;+;19
396;100085;VK1;1;beliebig;6;;0;0;+;19
397;100085;VK2;1;beliebig;5,5;;0;0;+;19
398;100085;VK3;1;beliebig;7,5;;0;0;+;19
399;100085;VK4;1;beliebig;9;;0;0;+;19
400;100085;VK_DP;1;beliebig;8;;0;0;+;19
401;100086;VK1;1;beliebig;6;;0;0;+;19
402;100086;VK2;1;beliebig;5,5;;0;0;+;19
403;100086;VK3;1;beliebig;7,5;;0;0;+;19
404;100086;VK4;1;beliebig;9;;0;0;+;19
