id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
24177;104051;H08;1;beliebig;2,93;;0;0;+;19
24178;104051;H15;1;beliebig;2,71;;0;0;+;19
24179;104051;H20;1;beliebig;2,55;;0;0;+;19
24180;104051;H33;1;beliebig;2,13;;0;0;+;19
24181;104052;EK;1;beliebig;3,79;;0;0;I;19
24182;104052;H05;1;beliebig;3,03;;0;0;+;19
24183;104052;H08;1;beliebig;2,93;;0;0;+;19
24184;104052;H15;1;beliebig;2,71;;0;0;+;19
24185;104052;H20;1;beliebig;2,55;;0;0;+;19
24186;104052;H33;1;beliebig;2,13;;0;0;+;19
24187;104053;EK;1;beliebig;3,79;;0;0;I;19
24188;104053;H05;1;beliebig;3,03;;0;0;+;19
24189;104053;H08;1;beliebig;2,93;;0;0;+;19
24190;104053;H15;1;beliebig;2,71;;0;0;+;19
24191;104053;H20;1;beliebig;2,55;;0;0;+;19
24192;104053;H33;1;beliebig;2,13;;0;0;+;19
24193;104054;EK;1;beliebig;3,79;;0;0;I;19
24194;104054;H05;1;beliebig;3,03;;0;0;+;19
24195;104054;H08;1;beliebig;2,93;;0;0;+;19
24196;104054;H15;1;beliebig;2,71;;0;0;+;19
24197;104054;H20;1;beliebig;2,55;;0;0;+;19
24198;104054;H33;1;beliebig;2,13;;0;0;+;19
24199;104055;EK;1;beliebig;3,79;;0;0;I;19
24200;104055;H05;1;beliebig;3,03;;0;0;+;19
24201;104055;H08;1;beliebig;2,93;;0;0;+;19
24202;104055;H15;1;beliebig;2,71;;0;0;+;19
24203;104055;H20;1;beliebig;2,55;;0;0;+;19
24204;104055;H33;1;beliebig;2,13;;0;0;+;19
24205;104056;EK;1;beliebig;3,79;;0;0;I;19
24206;104056;H05;1;beliebig;3,03;;0;0;+;19
24207;104056;H08;1;beliebig;2,93;;0;0;+;19
24208;104056;H15;1;beliebig;2,71;;0;0;+;19
24209;104056;H20;1;beliebig;2,55;;0;0;+;19
24210;104056;H33;1;beliebig;2,13;;0;0;+;19
24211;104057;EK;1;beliebig;3,79;;0;0;I;19
24212;104057;H05;1;beliebig;3,03;;0;0;+;19
24213;104057;H08;1;beliebig;2,93;;0;0;+;19
24214;104057;H15;1;beliebig;2,71;;0;0;+;19
24215;104057;H20;1;beliebig;2,55;;0;0;+;19
24216;104057;H33;1;beliebig;2,13;;0;0;+;19
24217;104058;EK;1;beliebig;3,79;;0;0;I;19
24218;104058;H05;1;beliebig;3,03;;0;0;+;19
24219;104058;H08;1;beliebig;2,93;;0;0;+;19
24220;104058;H15;1;beliebig;2,71;;0;0;+;19
24221;104058;H20;1;beliebig;2,55;;0;0;+;19
24222;104058;H33;1;beliebig;2,13;;0;0;+;19
24223;104059;EK;1;beliebig;3,79;;0;0;I;19
24224;104059;H05;1;beliebig;3,03;;0;0;+;19
24225;104059;H08;1;beliebig;2,93;;0;0;+;19
24226;104059;H15;1;beliebig;2,71;;0;0;+;19
24227;104059;H20;1;beliebig;2,55;;0;0;+;19
24228;104059;H33;1;beliebig;2,13;;0;0;+;19
24229;104060;EK;1;beliebig;3,79;;0;0;I;19
24230;104060;H05;1;beliebig;3,03;;0;0;+;19
24231;104060;H08;1;beliebig;2,93;;0;0;+;19
24232;104060;H15;1;beliebig;2,71;;0;0;+;19
24233;104060;H20;1;beliebig;2,55;;0;0;+;19
24234;104060;H33;1;beliebig;2,13;;0;0;+;19
24235;104061;EK;1;beliebig;3,79;;0;0;I;19
